date	winnerId	loserId	where	roundPos	team1	winner	team2	loser	score
20160325	385611	459849	H	   1	UNLV	Jakob Amilon        	New Mexico	Bart Van Leijsen    	6-4,6-4
20160325	409696	446079	A	   1	St. Francis (PA)	Washi Gervais       	Duquesne	Corey Robinson      	6-3, 7-6(2)
20160325	411840	399183	A	   1	California	Billy Griffith      	Utah	Matt Cowley         	6-3, 7-6 (7-5)
20160325	399713	454859	A	   1	USC	Nick Crystal        	Washington	Mitch Stewart       	1-6,7-6,6-3
20160325	431488	428541	A	   1	UCLA	Mackenzie McDonald  	Oregon	Daan Maasland       	6-3, 6-2
20160325	438817	423539	H	   1	Alabama	Mazen Osama         	Auburn	Marko Krickovic     	6-2, 6-3
20160325	415517	400002	A	   1	Florida	Diego Hidalgo       	Mississippi State	Mate Cutura         	3-6, 6-4, 6-3
20160325	452701	452628	H	   1	Georgia	Austin Smith        	Tennessee	Igor Smelyanski     	6-2, 6-0
20160325	394128	408124	H	   1	Kentucky	William Bushamuka   	South Carolina	Gabriel Friedrich   	6-4, 3-6, 6-3
20160325	459611	445605	H	   1	Vanderbilt	Daniel Valent       	Texas A&M	Arthur Rinderknech  	6-2, 3-6, 6-4
20160325	442066	419728	H	   1	Chattanooga	Lucas Plesky        	Metropolitan State	Parker Jones        	6-4, 6-3
20160325	390429	442480	H	   1	ETSU	David Biosca        	Wofford	Haris Poric         	6-2, 6-4
20160325	454720	468510	H	   1	Furman	Adam Steryous       	The Citadel	Nicholas Bradley    	6-0, 6-3
20160325	406551	442136	H	   1	Lamar	Michael Feucht      	Nicholls State	Oleksandr Podgursky 	6-2, 6-3
20160325	399300	403064	A	   1	Denver	Henry Craig         	Cal Poly	Ben Donovan         	5-7, 6-2, 6-2
20160325	449855	435242	A	   1	Valparaiso	Jeffrey Schorsch    	Xavier	Zach Mueck          	6-4, 6-3
20160325	418313	422775	N	   1	South Alabama	Tuki Jacobs         	Georgia State	Jannis Koeke        	6-4, 6-3
20160325	429839	437041	N	   1	Grand Canyon	Mitch Maroscher     	Chicago State	Gabriel Niculescu   	6-4 6-2
20160325	458490	399698	H	   1	New Mexico State	Strahinja Trecakov  	UTRGV	Juan Cruz Soria     	6-3. 7-6
20160325	395824	397432	N	   1	UMKC	Airam Castellano    	Seattle	Ian Clare           	6-4, 6-1
20160325	434198	388390	H	   1	BYU	Shane Monroe        	Idaho	Odon Barta          	6-2, 5-7 1-0 (10-4)
20160325	460498	450367	A	   1	Pacific (CA)	Sem Verbeek         	Santa Clara	Robert Seby         	6-2, 6-4
20160325	441252	438924	N	   1	San Diego	Uros Petronijevic   	Gonzaga	Ruadhan OSullivan   	6-3, 6-1
20160325	452347	417359	H	   1	San Francisco	Nils Skajaa         	St. Mary's (CA)	Thomas Hunt         	6-2, 6-2
